Nodal displacements, Ultimate - Load case: DL
ID	Node	ex	ey	ez	φ x	φ y	φ z	Case
[-]	[-]	[m]	[m]	[m]	[°]	[°]	[°]	[-]
BMBPL.1	1138	-0.000	-0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1027	0.000	-0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	40	0.000	0.000	-0.004	-0.000	-0.068	0.000	DL
BMBPL.1	42	0.000	0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	44	0.000	0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	31	-0.000	0.000	-0.004	0.000	-0.068	0.000	DL
BMBPL.1	83	0.000	0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	108	0.000	0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	39	0.000	0.000	-0.004	-0.000	-0.068	0.000	DL
BMBPL.1	33	0.000	0.000	-0.004	0.000	-0.068	0.000	DL
BMBPL.1	67	0.000	0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	88	-0.000	0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	41	0.000	0.000	-0.004	-0.000	-0.068	0.000	DL
BMBPL.1	85	0.000	0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	145	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	144	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	105	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	70	0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	118	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	120	0.000	0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	158	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	95	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	79	0.000	0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	102	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	153	0.000	0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	115	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	126	0.000	0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	113	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	32	0.000	0.000	-0.004	0.000	-0.068	0.000	DL
BMBPL.1	137	0.000	-0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	104	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	121	-0.000	0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	179	0.000	0.000	-0.003	-0.000	-0.068	-0.000	DL
BMBPL.1	162	-0.000	0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	142	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	98	0.000	-0.000	-0.003	0.000	-0.068	0.000	DL
BMBPL.1	159	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	124	0.000	0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	110	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	147	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	156	-0.000	-0.000	-0.003	-0.000	-0.068	0.000	DL
BMBPL.1	14	-0.000	-0.000	-0.004	-0.000	-0.068	0.000	DL
